en,nl,en-nl,nl-en
policeman,politieagent,0.1416796618,0.283515021
policeman,verzoek,0,0.0107588899
policeman,vraag,0,0.0400309403
policeman,chef,0.0151867648,0
policeman,politie,0.1047976608,0
policeman,superieur,0,0.0554698979
policeman,gala,0,0.0128221271
policeman,pulp,0.0239465289,0.0112575521
policeman,inspecteur,0.0241845659,0
policeman,afstand,0.0203283654,0
policeman,politieman,0.1731967949,0.447322643
policeman,agent,0.0571765033,0.0378475976
policeman,toespraak,0.0106164531,0
policeman,waar,0.0151391574,0
funeral,begraven,0.0156493417,0
funeral,betalen,0,0.0157340611
funeral,wachten,0,0.0208243578
funeral,eenduidig,0,0.3896948474
funeral,plannen,0.0499978953,0.0548096254
funeral,telepathie,0,0.0438560264
funeral,nee,0.0499978953,0
funeral,begrafenis,0.5399877414,0.8520339805
funeral,aula,0,0.0312327932
shave,reet,0.0399983386,0
shave,piercing,0,0.0296116664
shave,achten,0,0.0398664249
shave,truffel,0,0.0279906693
shave,afgrond,0.0187992192,0
shave,kaal,0,0.0636761794
shave,groot,0,0.0416551637
shave,scheren,0.317626872,0.6168292341
shave,doordeweeks,0,0.0663554471
shave,autorijden,0,0.147240771
shave,scheerschuim,0,0.6119226928
shave,aftershave,0,0.0126067464
shave,hardhandig,0,0.030999688
ocean,plaat,0,0.0121215218
ocean,zee,0.0509130324,0.0261137661
ocean,correct,0,0.036309845
ocean,gooien,0.0204507224,0
ocean,oppervlak,0,0.0241504067
ocean,oceaan,0.3607961897,0.6445345723
ocean,einder,0.0227230249,1
ocean,verdomme,0.0454460498,0.0137292285
ocean,bombarderen,0,0.0255606485
ocean,schijnend,0,0.0375
ocean,diepzee,0,0.1110004807
ocean,uitbreken,0,0.0347385333
amaze,geweldig,0.1395109999,0.0339855232
amaze,bijzonder,0,0.0590189888
amaze,slee,0,0.0156717069
amaze,schooltijd,0.0186291955,0
amaze,fantastisch,0.0564045667,0.049028148
amaze,bangelijk,0,0.046302465
amaze,ongekend,0,0.0119984539
amaze,verbazingwekkend,0.0243974108,0.772018836
amaze,subliem,0,0.2499373877
amaze,formidabel,0,0.0285999831
amaze,verbluffend,0,0.4191942247
amaze,grandioos,0,0.0531481164
amaze,grijsaard,0,0.0170039676
amaze,alleszins,0,0.0347242921
amaze,zomer,0,0.0666596786
amaze,ongelofelijk,0,0.0469230506
amaze,fabelachtig,0,0.1666659608
amaze,stomverbaasd,0.0114733457,0.2221845948
amaze,verbazen,0.0598453277,0.0512905405
amaze,verwonderen,0,0.0177892644
amaze,opzienbarend,0.0199884072,0.0826687885
amaze,onwijs,0,0.0115106091
amaze,overweldigend,0,0.1702232892
amaze,tin,0.0356593185,0.0183394449
amaze,wonderbaarlijk,0.0140634036,0.482698091
amaze,verwonderlijk,0,0.0751001332
amaze,ongrijpbaar,0,0.0180077926
amaze,versteld,0.0274240947,0.0815659957
amaze,spannend,0.0205480826,0
amaze,ongelooflijk,0.0323012661,0.0354271444
amaze,stem,0,0.0500214289
amaze,verbazend,0.0167412905,0.6101378716
amaze,bewonderenswaardig,0,0.0501833805
amaze,flapuit,0,0.1655716097
amaze,wonderlijk,0,0.0889037008
amaze,onvoorstelbaar,0.0608821698,0.0458244546
wrong-doing,handelen,1,0
munchkin,hangen,0.0834144117,0
munchkin,pagadder,0.0834144117,1
munchkin,dreumes,0.0547198541,0.3281093698
munchkin,kabouter,0.055720827,0
murphy,oké,0.0559587082,0
murphy,maaien,0,0.0152830292
murphy,stop,0.0555666355,0
murphy,willen,0.0102798276,0
murphy,wet,0,0.0193027739
murphy,openheid,0.0117245601,0.01099766
murphy,kijken,0.0555666355,0
murphy,doe-het-zelf,0,0.0611217417
real,echtheid,0,0.0715319314
real,namaak,0.0143955284,0
real,ik,0.0148714136,0
real,realistisch,0,0.0656504788
real,waar,0.0166262572,0
real,knikker,0,0.0121920887
real,bestaan,0,0.0164984353
real,heel,0,0.0149039335
real,stijf,0,0.0301666701
real,onwerkelijk,0,0.1536312462
real,langzaam,0.0297428273,0
real,boeman,0.0297428273,0
real,echte,0.0852428239,0.304456217
real,werkelijkheid,0.0299905157,0.1239839135
real,blijken,0,0.0283369642
real,waarmaken,0,0.0297811256
real,afstam,0,0.2315269405
real,snugger,0,0.0383368171
real,reeël,0,0.5
real,reëel,0,0.3413947316
real,handschrift,0,0.0103432319
real,nep,0,0.0777438715
real,erg,0.0296238559,0.0196040258
real,artiest,0.0148714136,0.0908601694
real,doen,0.0149011565,0
real,menens,0,0.0390484802
real,poepen,0,0.0108400561
real,serieus,0.0128500316,0
real,afvragen,0.0297428273,0
real,schorpioen,0,0.0333287891
real,echt,0.1861793867,0.0634197976
real,authentiek,0,0.0106720027
real,echter,0,0.0273727717
real,verbreken,0,0.0230276845
real,degelijk,0,0.1728694175
real,wezenlijk,0,0.0280399008
shoe,shoes,0.030870835,0.6749860363
shoe,nike,0,0.0500099478
shoe,obsceen,0,0.0208298611
shoe,sportschoen,0,0.2267422474
shoe,sjaal,0.0263403029,0
shoe,opvolgen,0,0.0185147634
shoe,geschiedenis,0.0263403029,0
shoe,lage,0.0131701515,0.0565293402
shoe,verbruik,0,0.0192644475
shoe,strikt,0,0.0122077571
shoe,blij,0,0.0113092139
shoe,vuilmaken,0,0.2500063431
shoe,verslijten,0,0.0223174258
shoe,lenen,0.0263403029,0
shoe,gympje,0,1
shoe,zool,0,0.0143066818
shoe,treden,0,0.0140212459
shoe,klomp,0,0.0166935827
shoe,alleen,0.0263139626,0
shoe,schoen,0.2072471621,0.8196163608
shoe,niemand,0,0.0385001562
shoe,cement,0.0263403029,0
shoe,kopen,0,0.0185924796
shoe,schoenmaker,0,0.2067162947
shoe,poetsen,0,0.0175198009
shoe,aan,0.0271568523,0
shoe,hoefijzer,0,0.0749500333
shoe,aftrappen,0,0.9999836072
shoe,veter,0,0.1003329171
shoe,glamour,0.0263403029,0.1000490579
shoe,schoenenwinkel,0,0.6819689699
shoe,schoenwinkel,0,0.7969998286
shoe,strik,0,0.0767886674
unsafe,gevaarlijk,0.0312187541,0
unsafe,onveilig,0.5941553269,0.5595069831
unsafe,kwijtraken,0.0624375081,0
unsafe,op,0.0104895014,0
unsafe,lozen,0,0.0140187773
unsafe,schuld,0.0104895014,0
unsafe,veilig,0.1113885144,0
trapper,jager,0.0116323932,0
trapper,trapper,0.1599454064,0.8
trapper,ervoor,0.0102692221,0
trapper,koop,0.0102692221,0
trapper,best,0.0115415151,0
trapper,gemeen,0.0102692221,0
trapper,dichtmaken,0.0102692221,0.0627960003
trapper,boekentas,0,0.0500071969
refresh,fris,0.0463047729,0.0133307038
refresh,vernieuwing,0.0117674145,0.0192458968
refresh,nogmaals,0.0195339068,0
refresh,vernieuwen,0.0249469171,0.0193722997
refresh,ontwaken,0.0287713265,0.0121229371
refresh,toch,0.0290655119,0
refresh,opfrissen,0.0208643308,0.0331842982
refresh,verversen,0,0.015227739
refresh,aangaande,0,0.0110050731
refresh,verfrissing,0,0.0714963537
refresh,verfrissen,0.0166508904,0.1546021954
possum,paal,0.1111357643,0
possum,ruzie,0.0184485369,0
possum,weten,0.0158924143,0
possum,poep,0.0357857161,0
pisces,prachtig,0.0221999983,0
pisces,vis,0.0665999948,0
pisces,waterman,0.1999999843,0.0333303277
pisces,passioneel,0.0183999986,0.249998714
emotion,tonen,0.0472650527,0
emotion,emotie,0.2457608815,0.9085571148
emotion,orka,0.0434821092,0.0405034186
emotion,tuig,0.0434821092,0
emotion,voort,0.0217410546,0.0267123155
emotion,emotioneel,0.0460551195,0.0128924174
emotion,gemoed,0,0.0192424947
emotion,wegversperring,0,0.0167388337
emotion,opdragen,0,0.0124048699
emotion,meditatie,0,0.0147424176
emotion,schaden,0.0217410546,0
emotion,geëmotioneerd,0,0.1250516201
undress,kleden,0.0197581968,0.0112745805
undress,kleed,0.1145514134,0
undress,beneden,0.0768801432,0
undress,ontkleden,0,0.3762500784
undress,vertrek,0.0768801432,0
undress,begluren,0,0.062749993
undress,knoop,0.0768801432,0.0164061166
undress,uitkleden,0.3036000023,0.3039086797
undress,even,0.0109938605,0
undress,uit,0.010994158,0
undress,gezang,0.0256010877,0
composer,waar,0.0268872555,0
composer,componist,0.6509604536,0.7904649582
syllable,woord,0.028181482,0
syllable,lettergreep,0.2660877352,0.8892499513
syllable,gehakt,0.028181482,0.0195879856
syllable,hallo,0.0301814582,0
jam,muziek,0.0194581742,0
jam,uitweg,0,0.0918664293
jam,blokkeren,0,0.0111437619
jam,puree,0,0.0115734795
jam,confituur,0.0138735019,0.5843283275
jam,file,0.0120537864,0.091157425
jam,jam,0.2755300988,0.6575393644
jam,halen,0.01404986,0
jam,knoei,0,0.0591844652
jam,opstopping,0,0.4116549086
jam,parket,0,0.0111908153
jam,vast,0.0587860249,0.0193516013
jam,verstoren,0,0.0246538057
jam,onderwerpen,0.0245725584,0
jam,ansjovis,0,0.0177539591
await,op,0.0318942992,0
await,hemel,0.1105743125,0
await,avontuur,0.0163361045,0
await,wachten,0.179919409,0
await,sentimenteel,0.0153359348,0
await,versterking,0.1111299623,0
await,gedurende,0.0370062774,0
await,bang,0.0108907363,0
await,dageraad,0.0108907363,0.0210902653
await,ongetwijfeld,0.0370062774,0
venture,verkennen,0.0303429012,0
venture,compagnon,0.019350413,0
venture,risicovol,0,0.0399898298
venture,zakelijk,0.028525961,0
venture,vereisen,0.0136270514,0
venture,samenwerking,0,0.0572332354
venture,buiten,0.0201680361,0
venture,venture,0,0.6666792178
venture,uitvoeren,0.0122643463,0
venture,ingewikkeld,0.0120826523,0
venture,vallen,0.0149897566,0
venture,onderneming,0.1085621763,0.1527835111
venture,wagen,0.0164433087,0
venture,vooruit,0.0127185813,0
venture,missie,0.0714965964,0
speaker,speaker,0.1399322501,0.8567144284
speaker,neer,0.0399520771,0
speaker,binnenin,0,0.0228254285
speaker,langskomen,0,0.1253030295
speaker,maar,0.0399920692,0
speaker,hij,0.0177564787,0
speaker,redenaar,0,0.5002501251
speaker,toekomst,0.0399920692,0
speaker,stekker,0.0101979776,0
speaker,luidspreker,0.0324335681,0.748001998
speaker,voorzitter,0.0501982052,0.1513709633
speaker,micro,0,0.0427112138
speaker,terug,0.0113177556,0
speaker,shit,0.0399920692,0
speaker,spreker,0.0623476359,0.5312974036
banjo,banjo,0.6713849471,0.9199976689
banjo,landgoed,0.0177091355,0
banjo,niet,0.1428156091,0
spar,mager,0.0476576096,0
spar,twist,0,0.01550072
spar,twijfelen,0,0.0182886105
spar,hebben,0.0434160823,0
spar,behoeden,0,0.0486282681
spar,ontzien,0,0.0497464989
spar,kruisen,0,0.0500268068
spar,tussen,0.0135347611,0.0624239533
spar,spar,0.0814945124,0.514991276
spar,sparen,0.0579516533,0
spar,lastdier,0,0.4999202627
spar,oefenen,0.053471838,0
spar,dan,0.015869984,0
bureaucracy,bureaucratie,0.8466935514,0.6396493422
bureaucracy,doven,0.0714268223,0.0475434388
bark,geweldig,0.0416761715,0
bark,woef,0.0138781651,0.0955714068
bark,graag,0.0416761715,0.0217537287
bark,keffen,0,0.5
bark,blaf,0.0515539831,0.7731194713
bark,wel,0.0416761715,0
bark,blaffen,0.1060435181,0.3183506557
bark,geblaf,0,0.0917270682
bark,bek,0.0416761715,0
bark,maken,0.0107107761,0
bark,nabootsen,0,0.0151639881
bark,stropen,0,0.0312651962
bark,en,0.0208380858,0
bark,lief,0.0104607191,0
bark,zien,0.0106690999,0
bark,bast,0,0.1904999998
arthur,afstappen,0,0.0255063684
arthur,hem,0.0416682776,0.0197056099
arthur,vraag,0.0208341388,0
arthur,arthur,0.7249873785,0.9043152031
arthur,brengen,0.0131255074,0
arthur,echt,0.0416682776,0
arthur,minnaar,0.0416682776,0
arthur,sociaal,0,0.0129982891
arthur,aardewerk,0,0.0476666665
recipe,leven,0,0.0245091498
recipe,oma,0.0674388334,0.0327571115
recipe,dood,0.0666391634,0
recipe,recept,0.3585853384,0.5416080687
recipe,uitwisselen,0.0153270076,0.0363048408
recipe,kleurstof,0,0.018206954
recipe,kookboek,0,0.028833328
waffle,wafel,0.1991578546,0.7903678929
waffle,delegeren,0.0156226745,0.0312578142
waffle,wafelijzer,0,0.2140204879
waffle,gewauwel,0.0416812956,0.0999960732
waffle,lullen,0.0365570583,0.1143038606
waffle,bevuilen,0,0.1119661499
waffle,tateren,0.0208094024,0.3333333333
waffle,twijfel,0.031245349,0
youngster,stengel,0,0.0487621897
youngster,staan,0.0909698392,0.0303766191
youngster,vast,0.0302929565,0
youngster,jongen,0.0320213834,0
youngster,bengel,0,0.1475356297
youngster,broeder,0.0606768828,0
youngster,jong,0.0365698754,0
youngster,jongeling,0.0118260791,0.0555177081
jealous,erg,0.0381762387,0.0131495306
jealous,jaloezie,0.0129306627,0.0562854366
jealous,jalouzie,0,1
jealous,reus,0,0.0101199828
jealous,benijden,0,0.0430196955
jealous,jaloers,0.8100135807,0.8160693021
jealous,afgunstig,0,0.03825
jealous,kots,0,0.0318783705
jealous,smijten,0,0.0424308616
vodka,wodka,0.6890026516,0.8181508077
vodka,hint,0,0.0160501703
vodka,vodka,0.0332420868,0.917616517
vodka,mixen,0,0.0328041393
vodka,rapport,0,0.0230879312
vodka,weinig,0.0277433958,0
charisma,uitstraling,0.2381902731,0.1093266958
charisma,charisma,0.7203193777,0.7313655713
christian,christen,0.1188068844,0.9007003774
christian,katholiek,0.0357099141,0
christian,vernietigen,0,0.0667544488
christian,wijn,0,0.0197577066
christian,bijeen,0.0357099141,0.0430910026
christian,welterusten,0.0239256425,0
christian,temperament,0,0.016661113
christian,christelijk,0.0107130703,0.6128224654
christian,wedergeboorte,0,0.0176511025
christian,ziekmakend,0,0.449
christian,jawel,0.0357099141,0
christian,medemens,0,0.0153979671
christian,fatsoenlijk,0,0.0122083162
christian,zeker,0.0114985924,0
define,beïnvloeden,0,0.0121404917
define,domoor,0,0.015759741
define,bepalen,0.0121128338,0.0169695888
define,onvermogen,0,0.0156666667
define,waarmaken,0,0.0331789722
define,definiëren,0.1865185774,0.6002893059
define,groot,0,0.0477696832
define,betekenis,0.0108737779,0
define,omschrijving,0.0369486533,0.0328149352
define,behandeling,0,0.0808241458
define,benoemen,0,0.0234068545
define,verduidelijken,0,0.0265134272
levy,innen,0.071442289,0
levy,percentage,0.0231473016,0
levy,ontwijken,0.071442289,0
levy,erfenis,0.071442289,0.0211243926
levy,baan,0.0241474937,0
thrill,vervoering,0,0.0559648929
thrill,opwekkend,0,0.0676707233
thrill,geweldig,0.0132355933,0
thrill,bezigheid,0,0.0179756903
thrill,enthousiast,0,0.0116267178
thrill,uitzinnig,0,0.0199911114
thrill,spannend,0.1238884914,0.0307652791
thrill,blits,0,0.0162072887
thrill,huiveren,0,0.3334444639
thrill,bekoren,0,0.0499999013
thrill,opwindend,0.0541688174,0.0348253735
thrill,extase,0,0.0128295883
thrill,trampoline,0,0.0112528132
thrill,gaat,0.0123296078,0
thrill,savanne,0,0.0425105244
thrill,kick,0.017698356,0.0454406553
thrill,wond,0,0.124786188
thrill,verrukking,0,0.0211929766
thrill,perplex,0,0.0196601133
thrill,opgetogen,0,0.2849635619
thrill,spanning,0.06038916,0.0469295457
thrill,ontroeren,0,0.2569992667
thrill,blij,0.0630179953,0
thrill,superblij,0,0.2499858758
thrill,sensatie,0.0874702508,0.3362390551
thrill,smullen,0,0.0204937281
thrill,jacht,0,0.0137092703
thrill,rolschaats,0,0.0233333064
thrill,opwinding,0.0182907695,0.0216549491
look,omkijken,0,0.0212550216
look,juist,0,0.0361965987
look,bekijken,0,0.0777859542
look,zoek,0.0141162278,0.232574512
look,zoeken,0.0242829923,0.148970906
look,fort,0,0.0909061463
look,nogal,0,0.1000098453
look,opzoeken,0,0.0211400398
look,it,0,0.0506347738
look,eng,0,0.0770942785
look,verschijning,0,0.0359761106
look,sceptisch,0,0.0787710885
look,ns,0,0.0176323994
look,ali,0,0.0121683631
look,ruim,0,0.0129996289
look,gezichtsuitdrukking,0,0.0571995549
look,strond,0,0.5
look,camionette,0,0.0345172586
look,tijd,0,0.0287147244
look,even,0,0.0114268556
look,jongen,0,0.0222510431
look,aanblik,0,0.0284095277
look,prince,0,0.0555484418
look,uiterlijk,0.0133159381,0.5146025622
look,obelisk,0,0.1
look,gelaatsuitdrukking,0,0.3334444815
look,sein,0,0.0270321786
look,magie,0,0.0100708524
look,dover,0,0.1254981071
look,ijdel,0,0.0131326979
look,ervoor,0.0101887327,0
look,retro,0,0.015202301
look,opletten,0,0.0231105306
look,uitstraling,0,0.1143324969
look,uit,0.013715404,0
look,er,0.0258158984,0
look,stel,0,0.0158027117
look,verongelukken,0,0.1667382259
look,lijk,0,0.0860312204
look,identiek,0,0.0276619732
look,aanneembaar,0,0.3333333333
look,uitzien,0,0.2246264401
look,eruit,0.0136529553,0.0360223221
look,barman,0,0.0143656036
look,aanstaren,0,0.0212393597
look,opkijken,0,0.1708229516
look,image,0,0.0278387932
look,voorjaar,0,0.0175057969
look,maar,0.0133535633,0
look,rondkijken,0,0.0976752421
look,sjouwen,0,0.0420250508
look,uitkijken,0,0.0383782167
look,taal,0,0.0255200665
look,spieken,0,0.0279772686
look,oppassen,0,0.0233461926
look,uitdrukking,0,0.0361120379
look,balpen,0,0.0833333329
look,wegkijken,0,0.0352116107
look,trucker,0,0.0266737854
look,snob,0,0.0237273944
look,waterloo,0,0.1222570603
look,lijken,0,0.092145959
look,ovaal,0,0.0476470678
look,broodnodig,0,0.0339999998
look,terugkijken,0,0.0845341558
look,look,0.0271101842,0.6802092816
look,poen,0,0.0408357631
look,kit,0,0.1249855367
look,afschaffen,0,0.0709347618
look,zij,0,0.0224635794
look,zier,0,0.0439986901
look,bezichtigen,0,0.0836258099
look,blijkbaar,0,0.1062451514
look,moes,0,0.0312584275
look,snoepen,0,0.0487984114
look,fotomodel,0,0.0199978754
look,knapperd,0,0.0731973212
look,blik,0.0115062855,0.2910910783
look,fanclub,0,0.0227453972
look,handschoen,0,0.0285663409
look,kippevel,0,0.039499634
look,inkijken,0,0.0456145003
look,intekenen,0,0.1666637212
look,kijken,0.0350575507,0.1222952987
look,combinatie,0,0.0129931148
look,iedereen,0,0.0124794941
look,aankijken,0,0.2766252725
boat,instappen,0,0.0130206801
boat,plaatsvinden,0,0.010331987
boat,klaar,0.0222411158,0
boat,stuur,0.0222188747,0
boat,crashen,0,0.1666309139
boat,vechten,0,0.0245852245
boat,vaartuig,0,0.0344950928
boat,boeg,0,0.0140239385
boat,prutser,0.0222411158,0
boat,roeiboot,0,0.0135983634
boat,wegvaren,0,0.1999998848
boat,springen,0.0444822317,0.0556857582
boat,zeilen,0,0.0123829865
boat,woonboot,0,0.0476666318
boat,jammer,0,0.0280177138
boat,lijst,0.0222411158,0
boat,sloep,0,0.0405273092
boat,voorbehouden,0,0.0999796182
boat,torso,0.0110315935,0.0222044409
boat,schuit,0,0.0470075664
boat,varen,0.0413017657,0.0719822644
boat,zinken,0,0.1014186705
boat,zeilboot,0,0.0179865086
boat,stoomboot,0,0.0221994448
boat,verbetering,0,0.0374425717
boat,reddingsboot,0,0.1759210023
boat,speedboot,0,0.0227388757
boat,komkommer,0.0222411158,0.0227499798
boat,bergbeklimmen,0,0.0471972027
boat,vlam,0,0.0284288504
boat,pelikaan,0,0.0357288753
boat,boot,0.2531483815,0.8676670524
booth,zonnebank,0,0.0556659564
booth,cel,0.022853736,0.0405418081
booth,zitplaats,0,0.2290893381
booth,oppeppen,0,0.0666133227
booth,wat,0.0125097426,0
booth,omroeper,0,0.0999999901
booth,stand,0,0.0312400465
booth,formeel,0.0434366063,0
booth,kassa,0,0.0113797236
booth,keet,0,0.0186544215
booth,apart,0.0123359962,0
booth,coupé,0,0.0312237125
booth,doen,0.0434366063,0
booth,bangerik,0,0.0285576222
booth,uiterlijk,0,0.0135191138
booth,kraam,0,0.3660421052
booth,antropologie,0,0.0554996861
booth,kennen,0.0217617398,0
closet,bubbelbad,0,0.047170691
closet,heimelijk,0,0.0500491038
closet,openlijk,0.0475533337,0.0171556806
closet,kast,0.3598360759,0.5002453062
closet,ontzet,0,0.014198131
closet,wegstoppen,0,0.010501966
closet,achterin,0,0.0274722003
closet,kleerkast,0,0.2381637053
closet,rommelen,0,0.0345996703
closet,opbergruimte,0,0.416553843
closet,schap,0,0.1740567684
closet,acne,0,0.039992001
closet,vinden,0.0447001337,0
telephone,duikboot,0,0.0388377534
telephone,vanochtend,0.017215919,0
telephone,cijfer,0,0.0184813435
telephone,telefoneren,0,0.0354637888
telephone,geluk,0.0345008396,0
telephone,bellen,0.0108677647,0
telephone,telefoon,0.2741105232,0.0993637359
telephone,telefonie,0,0.8198895763
telephone,bod,0,0.0313194831
telephone,telefoonnummer,0,0.011167712
telephone,vragen,0.0345008396,0
comedy,humor,0.0857785294,0.0236314504
comedy,cabaret,0,0.0307463556
comedy,toezicht,0,0.0908622417
comedy,komisch,0,0.0143884892
comedy,blijspel,0,0.4685
comedy,komiek,0,0.0241852387
comedy,blijven,0.0192323407,0
comedy,humoristisch,0,0.1666664984
comedy,doorzetten,0.0191554114,0.0120131588
comedy,comedy,0.0983157259,0.8749138497
comedy,tasten,0.0384646815,0.0115012781
comedy,slaap,0.0153858726,0
comedy,televisie,0.0254636191,0
comedy,komedie,0.3205646555,0.6028433179
cry,nu,0.0137018688,0.0177664891
cry,uitbarsten,0,0.0135972796
cry,schreien,0.0137018688,0.3333333297
cry,schreeuwen,0,0.0669545641
cry,titel,0,0.0999839819
cry,ma,0.0137018688,0
cry,aankomen,0.0137018688,0
cry,pond,0,0.0166070874
cry,ijdeltuit,0,0.5118177786
cry,slaken,0,0.333333332
cry,liefdeloos,0,0.025
cry,snotteren,0,0.0625060209
cry,tegen,0,0.0501029327
cry,omroeper,0,0.0249999975
cry,gillen,0,0.0330123678
cry,projecteren,0,0.0116034917
cry,verder,0,0.0372380683
cry,al,0.0137018688,0
cry,hij,0.0137019173,0
cry,jerome,0,0.111063462
cry,zaniken,0,0.0370216448
cry,jammeren,0,0.0813047844
cry,kreet,0,0.171527666
cry,huilen,0.2206902457,0.8376228321
cry,gehuil,0,0.4146554214
cry,grienen,0,0.1357973764
cry,deze,0.0137018688,0
cry,janken,0,0.4411417528
cry,jezus,0,0.0321658642
cry,traan,0,0.0170060666
cry,geween,0,0.200014001
cry,voorbij,0.0137018688,0
cry,moes,0,0.0102527642
cry,baby,0,0.0399378103
cry,jongen,0.0137292726,0
cry,verdriet,0,0.0734201882
cry,schreeuw,0,0.0274527408
cry,wolf,0,0.0415925549
cry,schroef,0,0.019494658
cry,uithuilen,0,0.2889999751
cry,futloos,0,0.1679996396
cry,daarop,0,0.024296929
cry,king,0.0133045146,0
cry,babys,0.0134415333,0
cry,gegil,0.0137018688,0.1998878948
cry,treur,0,0.0129945264
cry,wenen,0,0.4037215553
cry,je,0.0176891127,0
cry,peper,0,0.0124973141
cry,hunkeren,0,0.0192525645
shove,insteken,0,0.0216665976
shove,kappen,0.0185180552,0
shove,re,0,0.0164032404
shove,hoofd,0.0109626887,0
shove,smijten,0.0130367108,0.0526382858
shove,ophoepelen,0,0.0555050234
shove,por,0,0.0555049269
shove,duwen,0.1539591151,0.0270620358
shove,stoeien,0,0.0151809647
shove,douwen,0.0357398465,0.0249999239
shove,cast,0,0.1411193827
shove,opzouten,0,0.0357319533
shove,duw,0.0214439079,0.0149990575
shove,verschuiven,0,0.0556214748
shove,zure,0.0370361103,0.333221252
shove,pak,0.0370361103,0
shove,druif,0.0370361103,0.166693771
shove,schuiven,0.077554152,0.1688832367
shove,ram,0,0.0105715709
shove,pochen,0,0.0416666659
pointless,belachelijk,0.0554732809,0
pointless,nut,0.0148261922,0
pointless,doelloos,0.0144930193,0.0857800084
pointless,omweg,0.0278199337,0
pointless,zin,0.0304853165,0
pointless,punt,0.0278199337,0
pointless,nutteloos,0.0614703924,0.0177875105
pointless,terugzien,0,0.0161939883
pointless,zinloos,0.5943803793,0.3279008095
pointless,onzinnig,0,0.0152267341
remorse,wroeging,0.2952306831,0.7229663049
remorse,krijgen,0.0131404078,0
remorse,berouw,0.1613984866,0.1157036359
remorse,van,0.0131404078,0
remorse,hebben,0.1436875023,0
remorse,spijt,0.2146742703,0
volume,hoeveelheid,0.017648261,0.0535708312
volume,volume,0.2086159496,0.7538759047
volume,deel,0.0103798926,0
volume,boek,0.0230784952,0
volume,data,0,0.0123022592
volume,1,0.073593963,0
volume,watermassa,0,0.333333314
volume,bundel,0,0.0556072795
molecule,ervan,0.0277424852,0
molecule,molecule,0.1866994277,0.9536666666
molecule,molecuul,0.0838106311,0.5831387592
molecule,noodlot,0.0414887617,0.0108555458
molecule,ontstaan,0.0416553832,0
molecule,bewerken,0.0100806027,0.0106667953
monarch,heerser,0.0143014,0
monarch,vorst,0.0356034852,0.0132860467
cupcake,muffin,0.018854287,0.0595828756
cupcake,klusjesman,0.0139043415,0.0202927355
cupcake,cake,0.034816471,0
cupcake,winkel,0.0538932275,0
cupcake,jij,0,0.0150884674
pier,maffia,0.0588298008,0.0999601743
pier,speech,0.0284736236,0
pier,pier,0.416656652,0.7709909576
pier,shell,0,0.0370049636
pier,veerpont,0,0.1626666663
pier,per,0.0588298008,0.0999999491
jelly,pudding,0.0145956453,0.0273287875
jelly,moes,0.0221933784,0.0161293486
jelly,om,0.0166616955,0
jelly,rivierkreeft,0,0.2499998569
